"forest"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
21	1.53525360514716	1.27037821768936	1.1168708028965	1.04522151442254	1.00774361375461	0.989192135416646	0.98084125427246	0.980182699484461	1.03243213536786	-0.237151369303146	-0.0237071883616466	0.0999934873915092	0.157730538161473	0.187931304975826	0.202880618073975	0.209609997511861	0.210140679840177	0.168036586463191	1.18889270701148	1.07619048258439	1.0239001758101	0.997665646602675	0.984731812904904	0.978128374566649	0.979943457798278	1.03330931089948	1.09767505481156	0.0419561722554701	0.132774855765494	0.174911884078085	0.196052419832684	0.206474873827185	0.21179611375451	0.210333467649737	0.167329733272019	0.115461971522378
22	1.53513165681371	1.2674835883566	1.11554783512177	1.04430613142454	1.00806963922506	0.989414666625137	0.980962953901732	0.980160701763866	1.03330989670767	-0.237053099839907	-0.0213746130590078	0.101059572752624	0.158468180024431	0.187668584304896	0.202701296046413	0.20951192846158	0.210158406234086	0.167329261210988	1.19354800706467	1.07625899337309	1.02553598308771	0.997072230606022	0.984603799106262	0.978239350876387	0.979784328085397	1.03337298765615	1.09744048047571	0.0382047980095382	0.132719647807821	0.173593703676737	0.196530611455465	0.206578031016165	0.211706685862537	0.210461698934475	0.167278420715945	0.115650998247236
23	1.53878631405304	1.26825642300422	1.11777243403216	1.04532993857213	1.00928658883801	0.989611683492978	0.981320308120409	0.980094565897174	1.03308112784728	-0.239998127418938	-0.021997385374507	0.0992669271734786	0.157643166873315	0.186687931417974	0.202542534206019	0.209223962187161	0.210211700411519	0.167513609717272	1.19245766254211	1.07542589653921	1.02565655961074	0.998667843925447	0.983988955805928	0.978226003021134	0.978519544615088	1.03330211087079	1.09773619041188	0.0390834288849673	0.133390981120666	0.173496539657662	0.19524482049794	0.207073489374553	0.211717441946971	0.211480897715001	0.167335535261552	0.115412706702941
24	1.53023906841021	1.2690133519912	1.11511027513766	1.04472133701561	1.00788443010502	0.98949890598549	0.980508972998342	0.979622393853853	1.03207156332159	-0.23311051183846	-0.0226073404526521	0.101412171132255	0.158133595455594	0.187817831123591	0.202633413554777	0.209877759288737	0.210592190180756	0.168327145755344	1.19445341331264	1.0769249741283	1.02367780176892	0.997644728714345	0.984751783049277	0.978497783474498	0.98007312684463	1.0319822110901	1.09691279881134	0.0374751956977759	0.132182981422229	0.175091079455724	0.196069276066797	0.206458781312323	0.21149843346596	0.210228976614697	0.168399148345118	0.116076219260518
25	1.53620600610642	1.26949766759098	1.11680821753755	1.0457518216272	1.00840454469819	0.989265448060573	0.98108254819738	0.980078603090388	1.03311465451156	-0.237918841300555	-0.0229976158478269	0.100043920468017	0.157303201412552	0.187398707873221	0.202821540643694	0.209415555949491	0.210224563698866	0.16748659297002	1.19099104605719	1.07543376257384	1.02384091950227	0.996229619515958	0.984041575412241	0.978292399557684	0.978994559482727	1.03310389934272	1.09667949869559	0.0402652704950353	0.133384642444446	0.174959634509758	0.197209611628706	0.207031086987231	0.211663937714293	0.211098117116429	0.167495259793415	0.116264219182288
26	1.53428013115613	1.27058361590923	1.11743903473675	1.04526571980253	1.00805537545248	0.989308226914307	0.980717735490517	0.980137152607989	1.0325793283491	-0.236366916052587	-0.0238727041357938	0.0995355898839609	0.157694916198954	0.187680078461764	0.202787068216926	0.209709532487518	0.210177382819024	0.167917974139024	1.1899637497817	1.07353512671916	1.02560350541954	0.996763682160538	0.984956897258188	0.978273470504096	0.978340228781525	1.03282305827291	1.0975635669723	0.0410930952854353	0.134914617648248	0.173539292245946	0.19677924863863	0.206293494402351	0.211679191288352	0.211625395554503	0.167721569578911	0.115551811619511
27	1.54062274483682	1.27006603892008	1.11800916606177	1.04538861677419	1.00824340998711	0.988901376010686	0.981092973726477	0.979820729420639	1.03219636678673	-0.241477975993253	-0.0234556257594891	0.0990761617171336	0.157595882295848	0.187528554842987	0.203114920339096	0.209407154759254	0.210432365694945	0.168226575545132	1.18981976683973	1.07438597730306	1.0237026161086	0.99721511682496	0.985174288308643	0.978867760415855	0.979646633746224	1.03340272844723	1.09780470897691	0.0412091208679294	0.134228977854655	0.175071083349408	0.196415469643831	0.206118314461498	0.211200295439724	0.210572656980548	0.16725445473385	0.115357492478877
28	1.5370438791686	1.26954366564926	1.11572052445987	1.04509936282532	1.00878653058904	0.989415765112117	0.981073882288433	0.980650817490076	1.03219612281987	-0.238594023435093	-0.0230346824019105	0.100920414733143	0.157828971420483	0.187090892691193	0.202700410854112	0.209422539187364	0.209763456930749	0.168226772140623	1.18545543666216	1.07706808049691	1.02376055783294	0.996888947436167	0.984166425983715	0.978987767216547	0.980370929314842	1.03370876746933	1.09839053504707	0.0447260232462533	0.132067662207679	0.175024392246794	0.19667830628829	0.206930478817389	0.211103590519245	0.209988998846484	0.167007839715986	0.114885417036461
29	1.53359824185853	1.26922310518231	1.11696860121608	1.04519754622521	1.00760528911404	0.989261239489836	0.980897071391621	0.979801461812581	1.03320623009699	-0.235817430107458	-0.0227763655874762	0.0999146787018035	0.157749852422029	0.188042770936829	0.20282493203065	0.209565018477017	0.210447892085902	0.167412798737892	1.19060199158282	1.07877703288598	1.02465394484659	0.997245443404501	0.984620399547867	0.979016696013616	0.978723459799905	1.03272050355783	1.09741104173732	0.0405787817443062	0.130690539378515	0.17430447537863	0.196391031616603	0.206564653904401	0.211080278865205	0.21131657701302	0.167804211108473	0.115674720826611
30	1.53252648722665	1.26741751179655	1.1159265142994	1.04701985588242	1.00794194838462	0.989231388716865	0.981326262760576	0.980062686607656	1.03327027145759	-0.234953779498892	-0.0213213666725698	0.100754422214918	0.156281383056349	0.187771481244894	0.202848986639303	0.2092191637674	0.210237389656962	0.167361192373518	1.19046993103417	1.07743390237197	1.0234872547521	0.997045473320289	0.984955299713068	0.978508362995949	0.979020738324446	1.03256745936011	1.09668363656623	0.0406851999204608	0.13177287245299	0.175244627704682	0.196552173243415	0.20629478175001	0.21148990818427	0.211077021455249	0.16792753851063	0.116260884767495
