"sex"	"age"	"all"	"bmonly"
-7.52441827840565e-05	0.00474150454246871	0.00156340363350188	0.00201667957007562
1.50788581787035e-05	0.00477914020154401	0.00158217893068793	0.00210465725587971
-6.17472242239535e-05	0.00471663812872823	0.00152460126897015	0.00211898711178155
8.55262572578908e-06	0.00470878535786575	0.00156034357397365	0.00202209686399603
-5.3850164770803e-05	0.00479939451866577	0.00139059629405893	0.00207806343850151
-2.43130935588476e-05	0.00465434781295627	0.00163559459720498	0.00198810970333831
-6.3167652446452e-06	0.0048086312623921	0.00156354008257114	0.0019533598259286
-3.27209895530535e-05	0.00476802270906152	0.00150648639871813	0.00205889235449217
-4.44592685311806e-05	0.00476472344086302	0.00160980654621556	0.00205411071086877
-3.75567275365403e-05	0.00476237350361968	0.00158252486868631	0.00211954686288765
-6.18059151605129e-05	0.00484076565077842	0.00163249190029153	0.00194882563245781
-2.92872133549687e-05	0.00470214905160145	0.00140132257507599	0.0020491450996992
-6.75202568727352e-05	0.0046871678368599	0.00149423034568516	0.00206269235204356
-4.18986356407242e-05	0.00478381818709892	0.00145974802014788	0.00203493247816802
-6.05612453097904e-05	0.00475337008376515	0.0015054574069188	0.00207547236190442
-6.48354938667989e-05	0.00473826516444895	0.00146731672517981	0.00203965143039018
-3.92343544608728e-05	0.00477109682229829	0.00150083535265359	0.00208147072005387
-2.03804652192733e-05	0.00465753716757264	0.00142393584421574	0.00201129360085081
-7.58906307678514e-05	0.00467908488907567	0.00159265839927681	0.00212372069348933
-3.01558998378887e-05	0.00489337787276836	0.00144187742108796	0.00206454622939484
-5.49974006411275e-05	0.00467608873557685	0.00147248940932843	0.00202954278874938
-3.14378794125623e-05	0.00461250391942768	0.00154493011823891	0.00200313854551354
-1.2499145803456e-05	0.00471300053229532	0.00153090447924069	0.0020071071764197
-6.15813322392259e-05	0.00472009043195189	0.00147917363375759	0.00204225496150596
-4.90218812204494e-05	0.00467971150758893	0.00144913036707581	0.00215545571255344
-3.33723215265115e-05	0.00470385616004161	0.00155413300571237	0.00205419197815451
-2.72367163488593e-05	0.00474105153550059	0.0013634676843307	0.00210696590275508
-2.07517374694611e-05	0.0045187297157263	0.00147870593509365	0.00213826583468398
-6.21458228130577e-05	0.00480571177093817	0.00154242372540452	0.0021012707908959
-8.26473798672388e-05	0.00466750838856216	0.00137724502317806	0.00210259593969235
-7.06058382927537e-05	0.00478405133194083	0.00156797775507448	0.00209584088370989
-6.61707962761237e-05	0.00468106021438519	0.001601273629078	0.00199682386843947
-1.49888069373944e-06	0.00482729518346795	0.00145298705346452	0.00209971271506489
-2.00149782015545e-05	0.00455439888342987	0.00146111252999865	0.00204002503889193
-3.51541653139142e-05	0.00476888469732593	0.00159415491910653	0.0020368147908418
-3.9166430030404e-05	0.00479067908521192	0.00144252435611955	0.00193986772588235
-1.97074967052659e-05	0.00467601264532244	0.00150948189622691	0.0019015643652546
-3.93251597669847e-06	0.00465430243770926	0.00153257092835557	0.00202251231463807
-2.31658889157205e-05	0.00473971170838931	0.00146013148619026	0.00217093709410165
-5.51169640752858e-08	0.00466607161840573	0.00160875891592943	0.00214015356198551
7.9093797177589e-06	0.00483417498091292	0.00160121813714417	0.00199651987070917
-4.3354152546517e-06	0.00482539738170175	0.00160050148445059	0.00208281463989439
-6.71679276169298e-05	0.00468386237826141	0.00162639862468378	0.0021016171914349
-1.50944930055444e-05	0.00472345726924675	0.00147936236610767	0.00193406118138682
-5.02891090943912e-05	0.00477041031453238	0.00155561225533448	0.00209617829265631
-3.19539213603764e-05	0.00470732265351346	0.00151134809750725	0.00206192456257637
-8.91310868959108e-05	0.00466733278524666	0.00149572097403795	0.00212538835723124
-1.4187611660928e-05	0.00473858388339386	0.00147577061017475	0.00215582978881325
-2.60166980633266e-05	0.00462506722714763	0.00158513935701715	0.00218045872765734
-2.84780900032954e-05	0.00458060559645722	0.00146420203041693	0.00204694650564681
2.11504743761108e-05	0.00468594040682183	0.00152359488845156	0.00210037146723195
-3.94098587880206e-05	0.00478775678823308	0.00159069754330105	0.00212531480621507
-3.49535951041628e-05	0.00464154786159039	0.00158652360259673	0.00195702059008901
-5.18148932523589e-05	0.00479142665159404	0.00142530574082624	0.00209033760186183
-4.0373910051011e-05	0.00476465845023186	0.00147759029446108	0.00214593744077261
-7.88882376262529e-05	0.00482342840116648	0.00144151044823657	0.00204063806806661
-1.72997952065163e-05	0.00469519767370633	0.00148442816997239	0.00192331965876278
-5.35396077879498e-05	0.0046051776041035	0.00149088803456663	0.00206327227908713
-5.99335238143028e-06	0.00478262498384655	0.00159116151132541	0.00209947312369162
-5.75517265380779e-05	0.00469684057038371	0.00164776908152096	0.00201673078381374
-6.69565275929984e-06	0.00465321457002674	0.00146255217100044	0.00198212026279573
-6.78665606892057e-05	0.00471903850990093	0.00153189086307469	0.00208424316975877
-7.77111006725658e-05	0.00465551037231064	0.00161472175419485	0.00197783318841378
-8.36317800118405e-05	0.00475402619947563	0.00150827725961307	0.00205337074283869
-6.16694829034046e-05	0.00470003067681514	0.0013960991005394	0.00208918427340297
-3.77496501085693e-05	0.00479861442179153	0.00147071938849772	0.00204448766194709
-1.08477014098548e-05	0.00461723431309715	0.00151675469799707	0.00206459239238646
