"forest"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
21	1.53525360514716	1.27037821768936	1.1168708028965	1.04522151442254	1.00774361375461	0.989192135416646	0.98084125427246	0.980182699484461	1.03243213536786	-0.237151369303146	-0.0237071883616466	0.0999934873915092	0.157730538161473	0.187931304975826	0.202880618073975	0.209609997511861	0.210140679840177	0.168036586463191	0.621013221383223	0.709901597431083	0.819734733233974	0.899055391590729	0.936902524241201	0.954968425119953	0.968593188331921	1.02723650555586	1.09433596668678	0.499569742344967	0.42794094057954	0.339434250936965	0.275515390384489	0.245017085853075	0.230459064992606	0.219479840187267	0.172223373919518	0.118152704461843
22	1.53513165681371	1.2674835883566	1.11554783512177	1.04430613142454	1.00806963922506	0.989414666625137	0.980962953901732	0.980160701763866	1.03330989670767	-0.237053099839907	-0.0213746130590078	0.101059572752624	0.158468180024431	0.187668584304896	0.202701296046413	0.20951192846158	0.210158406234086	0.167329261210988	0.620882297432416	0.708367208899637	0.819484364007043	0.898243958915346	0.936871263967058	0.954789466809482	0.967516467347869	1.02715415679892	1.09427986778981	0.499675244617994	0.429177394847654	0.339636005637876	0.276169266097324	0.245042276278182	0.23060327472975	0.220347492824793	0.172289732908721	0.118197910561324
23	1.53878631405304	1.26825642300422	1.11777243403216	1.04532993857213	1.00928658883801	0.989611683492978	0.981320308120409	0.980094565897174	1.03308112784728	-0.239998127418938	-0.021997385374507	0.0992669271734786	0.157643166873315	0.186687931417974	0.202542534206019	0.209223962187161	0.210211700411519	0.167513609717272	0.620998247594022	0.709460269476127	0.820089739766934	0.899259257873725	0.936360192050824	0.955083139423506	0.967311280525643	1.02745086652363	1.09434565596968	0.49958180865359	0.428296575298101	0.339148176495002	0.275351109088997	0.245454112680234	0.230366624918052	0.220512838248656	0.172050635706161	0.118144896559901
24	1.53023906841021	1.2690133519912	1.11511027513766	1.04472133701561	1.00788443010502	0.98949890598549	0.980508972998342	0.979622393853853	1.03207156332159	-0.23311051183846	-0.0226073404526521	0.101412171132255	0.158133595455594	0.187817831123591	0.202633413554777	0.209877759288737	0.210592190180756	0.168327145755344	0.620953793630398	0.710025316037684	0.820064168378086	0.899057030595353	0.936531878028467	0.955264968403439	0.968338827622434	1.02614297522401	1.09400484540525	0.499617630931931	0.427841244579445	0.339168782653244	0.275514069627575	0.245315763197375	0.230220101913157	0.219684811339254	0.173104572011409	0.118419531483432
25	1.53620600610642	1.26949766759098	1.11680821753755	1.0457518216272	1.00840454469819	0.989265448060573	0.98108254819738	0.980078603090388	1.03311465451156	-0.237918841300555	-0.0229976158478269	0.100043920468017	0.157303201412552	0.187398707873221	0.202821540643694	0.209415555949491	0.210224563698866	0.16748659297002	0.618791478024245	0.710410847228589	0.819907271420066	0.898446853187683	0.93693322598693	0.95502698899105	0.967928422358093	1.02706972321043	1.09358700814589	0.501360086838922	0.427530572492997	0.339295214720105	0.276005768075887	0.244992345506177	0.230411872546305	0.220015527667193	0.172357771914964	0.118756236726027
26	1.53428013115613	1.27058361590923	1.11743903473675	1.04526571980253	1.00805537545248	0.989308226914307	0.980717735490517	0.980137152607989	1.0325793283491	-0.236366916052587	-0.0238727041357938	0.0995355898839609	0.157694916198954	0.187680078461764	0.202787068216926	0.209709532487518	0.210177382819024	0.167917974139024	0.619702677013631	0.709134435474104	0.819180288477547	0.897956365728969	0.937185247854843	0.955143629948578	0.967040095422428	1.02658260622648	1.09401906061519	0.500625816570057	0.428559141678285	0.339881038417103	0.276401016931932	0.244789259059783	0.230317879918743	0.220731366979449	0.172750304745814	0.11840807645973
27	1.54062274483682	1.27006603892008	1.11800916606177	1.04538861677419	1.00824340998711	0.988901376010686	0.981092973726477	0.979820729420639	1.03219636678673	-0.241477975993253	-0.0234556257594891	0.0990761617171336	0.157595882295848	0.187528554842987	0.203114920339096	0.209407154759254	0.210432365694945	0.168226575545132	0.619805461631987	0.710263375388355	0.818739278274571	0.898234981837034	0.937108453666742	0.955188558049593	0.967952793471393	1.02714640568501	1.09486648439365	0.500542989777848	0.427649409529737	0.340236417082008	0.276176500084392	0.244851142018172	0.230281675566899	0.219995888725399	0.172295978978532	0.117725198084199
28	1.5370438791686	1.26954366564926	1.11572052445987	1.04509936282532	1.00878653058904	0.989415765112117	0.981073882288433	0.980650817490076	1.03219612281987	-0.238594023435093	-0.0230346824019105	0.100920414733143	0.157828971420483	0.187090892691193	0.202700410854112	0.209422539187364	0.209763456930749	0.168226772140623	0.619236759805921	0.709054662249388	0.818975939730738	0.898100532581083	0.936906967768127	0.955341902615625	0.967939138401726	1.0274302318415	1.09503869736479	0.501001266013438	0.428623425229785	0.340045708495768	0.276284843149371	0.245013505131686	0.230158106119346	0.220006892372014	0.172067263724599	0.117586423934874
29	1.53359824185853	1.26922310518231	1.11696860121608	1.04519754622521	1.00760528911404	0.989261239489836	0.980897071391621	0.979801461812581	1.03320623009699	-0.235817430107458	-0.0227763655874762	0.0999146787018035	0.157749852422029	0.188042770936829	0.20282493203065	0.209565018477017	0.210447892085902	0.167412798737892	0.619844804117372	0.71027968402893	0.820289687198644	0.897974652450829	0.937302954956713	0.955265274316545	0.967620634573426	1.02642581170794	1.09382879255293	0.500511286475213	0.427636267559608	0.338987053122226	0.276386280967194	0.244694407302544	0.230219855399605	0.220263551888064	0.172876654264003	0.118561399919103
30	1.53252648722665	1.26741751179655	1.1159265142994	1.04701985588242	1.00794194838462	0.989231388716865	0.981326262760576	0.980062686607656	1.03327027145759	-0.234953779498892	-0.0213213666725698	0.100754422214918	0.156281383056349	0.187771481244894	0.202848986639303	0.2092191637674	0.210237389656962	0.167361192373518	0.619036559761982	0.710332876185802	0.82027445598454	0.898018616794548	0.936871934448854	0.954710347872932	0.967364068660557	1.02676832086936	1.09417912350014	0.501162592948391	0.427593403794632	0.338999326871215	0.276350853238609	0.245041735984729	0.230667031037087	0.220470300056156	0.172600650562313	0.118279093198182
